creator,filename,objectid,object_type,title,date,subject_date,subject_date_notes,description,subject,methodology,field,advisor,location,latitude,longitude,source,identifier,format,language,rights,rightsstatement,display_template,filename,object_location,image_small,image_thumb,image_alt_text,object_transcript
"Rama Luna, Adelaida",enght024.pdf,ht011,thesis,Narrative Crossings: Weaving Transnational Identity through Border Storytelling in Caramelo and Señales Que Precederán al Fin Del Mundo,2019-05,2009,"Señales que preceden al fil del mundo, by Yuri Herrera, is published.","Introduction: ""As an undocumented scholar, finding these works of literature which convey messages of liminality, exile, and one’s personal search for belonging reverberates with my crossing of the US-Mexican border and loss of home. It was thereby through my own experiences that I developed an interest in exploring the presence of borderlands in reference to identity formation salient in literature. In my research, I find that while there is a popularized discourse surrounding border narratives produced in the United States, the inclusion of border texts occurring at the southern side of the US-Mexican border is absent. More specifically, the literary discourse centering around borders predominantly focuses on popularized texts emerging from the Chicano literary genre. . . .""",Mexico; Mexican-American; border; identity; Caramelo; Señales que preceden al fin del mundo; Yuri Herrera; Sandra Cisneros; Latin America,textual analysis,literary studies,Leila Pazargadi,Mexico City; Chicago; Ciudad Juarez,31.68639669,-106.3973126,,,application/pdf,,,,pdf,enght024.pdf,/objects/enght024.pdf,/objects/small/enght024_sm.jpg,/objects/thumbs/enght024_th.jpg,,
"Rodriguez-Beltran, Karla",enght025.pdf,ht012,thesis,Symbols of Colonial Decay: A Postcolonial Rereading of Gabo's Fiction,2017,1967-05,100 Years of Solitude is published.,"Introduction: ""In Gabriel Garcia Marquez’s One Hundred Years of Solitude and Of Love and Other Demons, it is clear that he is advocating for the rights of those that have been oppressed by the spectre of empire. In his critique, Garcia Marquez address conditions that span tremendous time and empires, beginning with the Spanish colonial rule that came to Colombia via Santafe de Bogota established in 1549 (Colombia). This same regime that invaded native lands and destroyed native populations, brought about the oppression of a foreign population on Latin American soil with the introduction of the trans-Atlantic slave trade. Thus, Garcia Marquez heavily implicates the Spanish colonial project and the decay of its power in his depiction of a Colombian port city in Of Love and Other Demons. . . .""",Gabriel Garcia Marquez; colonialism; power; Latin America; Colombia,textual analysis,literary studies,Leila Pazargadi,,,,,,application/pdf,,,,pdf,enght025.pdf,/objects/enght025.pdf,/objects/small/enght025_sm.jpg,/objects/thumbs/enght025_th.jpg,,
"Veach, Madison",enght029.pdf,ht013,thesis,Win It!: An Analysis of Women in Female Homosocial Environments In Athletic Films,2017-05,,,"Introduction: ""Sports films depicting women in competitive homosocial environments, such as Bend It Like Beckham by director Gurinder Chadha; Whip It, directed by Drew Barrymore; and Ice Princess directed by Tim Fywell, offer a problematic difference in focus from male athletic films. Unlike their male counterparts, female protagonists face plots with little correlation with the sport i tself; rather, their films focus on the social expectations of traditional feminine behavior, such as lack of control in their athletic and social lives, conformity to traditional feminine identity, and punishment for deviation from being “real” heterosexual women. To further undermine the female athlete, presentations of femininity are often directly correlated to a final victory. . . . """,women; gender; athletics; film; sexuality; Bend it Like Beckham; Whip It; Ice Princess,textual analysis,literary studies,Joanna Shearer,,,,,,application/pdf,,,,pdf,enght029.pdf,/objects/enght029.pdf,/objects/small/enght029_sm.jpg,/objects/thumbs/enght029_th.jpg,,
"Weiss, Tiffany",enght030.pdf,ht014,thesis,Mother Syxorax: Recuperating A Postcolonial Shero in Shakespeare's and Cesaire's Tempests,2025-05,1969,"Une tempête, by Aimé Cessaire, is published.","Abstract: The purpose of this paper is to explore how the colonial and patriarchal exploitation of people and land, along with the erasure of story and heritage, is depicted in the two intertextual works, The Tempest by William Shakespeare (1611) and A Tempest by Aimé Césaire (1969), through the complex character of Sycorax. I argue that by using postcolonial and ecofeminist lenses to analyze and compare the allegorical character of Sycorax in these two texts, one is able to reexamine the way in which concepts of colonial violence, erasure of history, ecological exploitation, and appropriation of indigenous culture and heritage run through both Tempests. By comparing these texts, readers can gain an understanding of British colonial tactics to exploit the indigenous, as well as how it is challenged through postcolonial ecofeminist frameworks. Aimé Césaire, a major influencer in postcolonial discourse, critiques Shakespeare’s The Tempest through revisions that boost Sycorax’s character in his play, A Tempest. In so doing, Césaire uses Sycorax to challenge Prospero, a character that represents the colonial perpetrator. In short, postcolonial ecofeminism aims to expose the operations of dualistic thinking that oppress and exploit humans and nature through binaries such as culture over nature, reason over emotion, white over non-white, man over woman, and ultimately domination over subordination. By analyzing the allegorical character, Sycorax, this article shows the way in which Césaire challenges colonial and patriarchal tactics immortalized in Shakespeare’s The Tempest.",colonialism; William Shakespeare; The Tempest; Sycorax; Aimé Cesaire; A Tempest nature; women; motherhood,textual analysis,literary studies,Leila Pazargadi,Martinique; London,14.66120736,-61.03505856,,,application/pdf,,,,pdf,enght030.pdf,/objects/enght030.pdf,/objects/small/enght030_sm.jpg,/objects/thumbs/enght030_th.jpg,,
"Burch, Ruby",enght032.pdf,ht015,thesis,"""Anyway, Here's Wonderwall: Discussions on Creative Writing, Memory, Queerness, and Worldbuilding in Ten Thousand Silver Spoons",2024-05,,,"Introduction: ""I love writing about Nevada. It’s hilarious. I live in a weird place, and I have the pleasure of telling weird stories. Playing on ghost town playgrounds, coming up with names for brothels on eight-hour car-rides (I’ll never forget the one we came up with for my mother: Michelle’s Mischievous Mistresses). Every town in Nevada looks similar. Drive down Boulder Highway in the middle of the day, between Warm Springs and Russell, and the horizon line becomes indiscernible from Fallon’s, Tonopah’s, Beatty’s. There are pieces of Vegas that still look like Pahrump. I knew I wanted to complete an Honors Thesis in sophomore year. I had no clue what I wanted to write— all I knew was that I wanted to write something creative. It wasn’t long, between lengthy drives up and down my state that I’d come up with the concept for Ten Thousand Silver Spoons— I wanted to write about the boom and bust I’d seen in stereo again and again through my travels. My state was in a constant state of after, and I wanted to write what I saw. In this critical piece, I want to discuss the process work I did to get to the point where we are now with the manuscript. . . .""",creative writing; writing; trauma; memory; Robert Olen Butler,creative writing,creative writing,Emily Hoover,Tonopah,38.06882266,-117.2257423,,,application/pdf,,,,pdf,enght032.pdf,/objects/enght032.pdf,/objects/small/enght032_sm.jpg,/objects/thumbs/enght032_th.jpg,,
"Haywood, Julian",Generational-Reflections-Screenshot.png,ht016,thesis,Generational Reflections: A Conversation With Pops,2024-05,,,"Julian interviews his father about their experiences with navigating records of Black ancestry. What emerges is an in-depth conversation between a father and son about what it means to be Black in American and abroad, and what their ancestry has meant for their family. Julian’s research bibliography is in the video description on YouTube.",family; documentary; black women; black men; ancestry; slavery; identity,oral history; film-making,literary studies; oral history,Molly Appel,Las Vegas; Henderson,36.03853636,-114.9860269,,,video/mp4,,,,video,Generational-Reflections-Screenshot.png,https://youtu.be/c4O2PO7CrZA?si=7u8mMwAogNLmglUS,/objects/small/generational-reflections-screenshot_sm.jpg,/objects/thumbs/generational-reflections-screenshot_th.jpg,,
"Oyler, Devon",Holy-Places-Screenshot.png,ht017,thesis,Holy Places: The In-Between Spaces of Spiritual Identity,2024-05,,,"Literature Review: ""The title “Holy Places” comes from a few places. I chose it before I had really even started working on my thesis. I was messing around with the Procreate app on my iPad, creating fake book covers and playing with colorful gradients. Something about the way the colors blurred and blended together reminded me of Gloria Anzaldúa’s concept of “borderlands”, the in-between spaces, the bridges, the grey areas. It felt fitting for a journey that has felt slow at times slow and lightning fast at others. Figuring out what I really believed and what I really felt (and not just what I thought I should believe or feel) left me floating in these blurred planes for a long time. Looking back on my old journal entries is strange, especially seeing the way child-me was so convinced of the truth and perfection of an entire ideology and institution based on faith alone. In reality, it was simply all I had ever known, the only solid color in which I had been allowed to reside. . . .""",LDS church; Mormon; identity; music; testimonial writing; journaling; website; Gloria Anzaldúa; Robin Wall Kimmerer,archival analysis; creative writing; autoethnography; digital humanities,literary studies; creative writing,Molly Appel,"Salt Lake Valley, UT; Las Vegas",40.69287063,-111.9044359,,,text/html,,,,record,Holy-Places-Screenshot.png,https://sites.google.com/view/holyplacesthesis/home,/objects/small/holy-places-screenshot_sm.jpg,/objects/thumbs/holy-places-screenshot_th.jpg,,
,IMG_4115_julian_defense.jpg,ht018,photograph,Julian Haywood at his defense,2024-05,,,"Julian Haywood wearing his honors stole, standing with his committee. From left to right: Laura Decker, Molly Appel (advisor), Julian Haywood, Christine Beaudry.",thesis defense,,,,,35.98239089,-114.9381797,,,image/jpg,,,,image,IMG_4115_julian_defense.jpg,/objects/IMG_4115_julian_defense.jpg,/objects/small/img_4115_julian_defense_sm.jpg,/objects/thumbs/img_4115_julian_defense_th.jpg,"Photograph of Julian Haywood wearing his honors stole, standing with his committee. From left to right: Laura Decker, Molly Appel (advisor), Julian Haywood, Christine Beaudry.",
,juan-diaz-defense.jpg,ht019,photograph,Juan Diaz at his defense,2023-12,,,"Juan Diaz wearing his honors stole, standing with his thesis committee. From left to right: Heather Lang-Cassera, Shartriya Collier, Juan Diaz, Molly Appel (advisor), and Brianne Taormina.",thesis defense,,,,,35.98239089,-114.9381797,,,image/jpg,,,,image,juan-diaz-defense.jpg,/objects/juan-diaz-defense.jpg,/objects/small/juan-diaz-defense_sm.jpg,/objects/thumbs/juan-diaz-defense_th.jpg,"Photograph of Juan Diaz wearing his honors stole, standing with his thesis committee. From left to right: Heather Lang-Cassera, Shartriya Collier, Juan Diaz, Molly Appel (advisor), and Brianne Taormina.",
,liz-laura-defense.jpg,ht020,photograph,Liz Galvez with her advisor,2022-12,,,"Liz Galvez wearing her honors stole, standing with her advisor, Laura Decker.",thesis defense,,,,,35.98239089,-114.9381797,,,image/jpg,,,,image,liz-laura-defense.jpg,/objects/liz-laura-defense.jpg,/objects/small/liz-laura-defense_sm.jpg,/objects/thumbs/liz-laura-defense_th.jpg,"Photograph of Liz Galvez wearing her honors stole, standing with her advisor, Laura Decker.",
"Naliponguit, Rhovi",Neurodivergent-Language-Screenshot.png,ht021,thesis,Neurodivergent Language: A Manual in Everyday Conversation,2023-05,,,"Abstract: My honor's thesis, Neurodivergent Language: A Guidebook to Everyday Experiences, speaks to the ""kairotic"" experience in disclosing one's neurodivergency, veering away from legal oriented disclosure (documented diagnosis) to relational disclosure within formal institutions. Defining relational disclosure is not limited to just revealing your neurodivergence, but extends to also just one's own opinion, emotions, or vulnerable topics. “Kairotic” – derived from Kairos – the idea of the right place and right time. Usually, a neurodivergent's basis for the right place and right time is through the internalized social norms that are imprinted. However, constantly trying to abide by neurotypic established norms will often lead to inauthentic experiences for the neurodivergent individual. This honor's thesis is written in manual form to convey guidebook-like experience for a neurodivergent person trying to navigate their kairotic moments to make room for themselves. The methodology of deriving artifacts is through self-studied experiences, that is then coded and tagged. . . .",Writing Center; Scalar; language; neurodiversity; identity; kairos; disclosure; vulnerability,qualitative research; autoethnography; archival analysis; digital humanities,writing studies; education,Molly Appel,Nevada State University Writing Center,35.98330936,-114.9392226,,,text/html,,,,record,Neurodivergent-Language-Screenshot.png,https://scalar.usc.edu/works/honors-thesis/index,/objects/small/neurodivergent-language-screenshot_sm.jpg,/objects/thumbs/neurodivergent-language-screenshot_th.jpg,,
,PHOTO-2024-05-03-16-58-38-asa-stole.jpg,ht022,photograph,Asa Baker with their advisor,2024-05,,,"Asa Baker wearing their honors stole, shaking hands with their advisor, Molly Appel.",thesis defense,,,,,35.98239089,-114.9381797,,,image/jpg,,,,image,PHOTO-2024-05-03-16-58-38-asa-stole.jpg,/objects/PHOTO-2024-05-03-16-58-38-asa-stole.jpg,/objects/small/photo-2024-05-03-16-58-38-asa-stole_sm.jpg,/objects/thumbs/photo-2024-05-03-16-58-38-asa-stole_th.jpg,"Photograph of Asa Baker wearing their honors stole, shaking hands with their advisor, Molly Appel.",
,PHOTO-2024-05-03-17-23-26-clarissa-pulotu.jpg,ht023,photograph,Clarissa Pulotu at her defense,2024-05,,,"Clarissa Puloto wearing her honors stole, standing with her family after her defense. Committee member present: Heather Lang-Cassera.",thesis defense,,,,,35.98239089,-114.9381797,,,image/jpg,,,,image,PHOTO-2024-05-03-17-23-26-clarissa-pulotu.jpg,/objects/PHOTO-2024-05-03-17-23-26-clarissa-pulotu.jpg,/objects/small/photo-2024-05-03-17-23-26-clarissa-pulotu_sm.jpg,/objects/thumbs/photo-2024-05-03-17-23-26-clarissa-pulotu_th.jpg,"Photograph of Clarissa Puloto wearing her honors stole, standing with her family after her defense. Committee member present: Heather Lang-Cassera.",
,PHOTO-2024-05-03-19-05-28-jalees-stole.jpg,ht024,photograph,Jalees Tamayo with her advisor,2024-05,,,"Jalees Tamayo being granted her honors stole by her advisor, Brianne Taormina.",thesis defense,,,,,35.98239089,-114.9381797,,,image/jpg,,,,image,PHOTO-2024-05-03-19-05-28-jalees-stole.jpg,/objects/PHOTO-2024-05-03-19-05-28-jalees-stole.jpg,/objects/small/photo-2024-05-03-19-05-28-jalees-stole_sm.jpg,/objects/thumbs/photo-2024-05-03-19-05-28-jalees-stole_th.jpg,"Photograph of Jalees Tamayo being granted her honors stole by her advisor, Brianne Taormina.",
,PHOTO-2024-05-03-19-05-43-lesly-defense.jpg,ht025,photograph,Lesly Arias at her defense,2024-05,,,"Lesly Arias wearing her honors stole, standing with her thesis committee. From left to right: Esmeralda Carretero-Rodriguez, Christine Beaudry, Lesly Arias, Rachel Herz-Betz (advisor), Molly Appel.",thesis defense,,,,,35.98239089,-114.9381797,,,image/jpg,,,,image,PHOTO-2024-05-03-19-05-43-lesly-defense.jpg,/objects/PHOTO-2024-05-03-19-05-43-lesly-defense.jpg,/objects/small/photo-2024-05-03-19-05-43-lesly-defense_sm.jpg,/objects/thumbs/photo-2024-05-03-19-05-43-lesly-defense_th.jpg,"Photograph of Lesly Arias wearing her honors stole, standing with her thesis committee. From left to right: Esmeralda Carretero-Rodriguez, Christine Beaudry, Lesly Arias, Rachel Herz-Betz (advisor), Molly Appel.",
